ci_player_id,first_name,middle_name,last_name,nick_name,nationality_code,date_of_birth,gender,height_cm,weight_kg,role,batting_hand,bowling_hand,bowling_type,bowling_style
1159732,Auqib,,Nabi,Auqib Nabi,IND,1996-11-04,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RFM
1449074,Vipraj,,Nigam,Vipraj Nigam,IND,1992-01-11,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,RLB
552152,Dushmantha,,Chameera,Dushmantha Chameera,SL,2003-12-06,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
802575,T.,,Natarajan,T. Natarajan,IND,1991-04-04,MALE,,,BOWLER,LEFT,LEFT,PACE,LFM
1028655,Pathum,,Nissanka,Pathum Nissanka,SL,1998-05-18,MALE,,,BATTER,RIGHT,,,
1175489,Sameer,,Rizvi,Sameer Rizvi,IND,1994-10-17,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
521637,Ben,,Duckett,Ben Duckett,ENG,2007-06-07,MALE,,,WICKET_KEEPER,LEFT,RIGHT,SPIN,
1059570,Ajay,,Mandal,Ajay Mandal,IND,1996-02-25,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
625960,Kyle,,Jamieson,Kyle Jamieson,NZL,1994-12-30,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
1451028,Sahil,,Parakh,Sahil Parakh,IND,2001-09-05,MALE,,,BATTER,LEFT,RIGHT,SPIN,RLB
1460385,Madhav,,Tiwari,Madhav Tiwari,IND,2003-09-28,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RFM
1292527,Tripurana,,Vijay,Tripurana Vijay,IND,2001-09-05,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,ROB
719719,Jos,,Buttler,Jos Buttler,ENG,1990-09-08,MALE,,,WICKET_KEEPER,RIGHT,RIGHT,SPIN,
308967,Rashid,,Khan,Rashid Khan,AFG,1998-09-20,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,RLB
793463,Shubman,,Gill,Shubman Gill,IND,1999-09-08,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
1070173,Sai,,Sudharsan,Sai Sudharsan,IND,2001-10-15,MALE,,,BATTER,LEFT,RIGHT,SPIN,RLB
1151288,Mohammed,,Shahrukh Khan,Shahrukh Khan,IND,1995-05-27,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
1207295,Kumar,,Kushagra,Kumar Kushagra,IND,2004-10-23,MALE,,,WICKET_KEEPER,RIGHT,RIGHT,,
823509,Glenn,,Phillips,Glenn Phillips,NZL,1996-12-06,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,ROB
391485,Jason,,Holder,Jason Holder,WI,1991-11-05,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RFM
423838,Rahul,,Tewatia,Rahul Tewatia,IND,1993-05-20,MALE,,,ALL_ROUNDER,LEFT,RIGHT,SPIN,RLB
719715,Washington,,Sundar,Washington Sundar,IND,1999-10-05,MALE,,,ALL_ROUNDER,LEFT,RIGHT,SPIN,ROB
550215,Kagiso,,Rabada,Kagiso Rabada,RSA,1995-05-25,MALE,,,BOWLER,LEFT,RIGHT,PACE,RAF
940973,Mohammed,,Siraj,Mohammed Siraj,IND,1994-03-13,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
917159,Prasidh,,Krishna,Prasidh Krishna,IND,1996-02-19,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
1048739,Sai,,Kishore,Sai Kishore,IND,1996-11-06,MALE,,,BOWLER,LEFT,LEFT,SPIN,LOB
1123073,Anuj,,Rawat,Anuj Rawat,IND,1999-10-17,MALE,,,WICKET_KEEPER,LEFT,,,
877051,Tom,,Banton,Tom Banton,ENG,1998-11-11,MALE,,,WICKET_KEEPER,RIGHT,,,
1244751,Arshad,,Khan,Arshad Khan,IND,1997-12-20,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LFM
1292506,Nishant,,Sindhu,Nishant Sindhu,IND,2004-04-09,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
236779,Ishant,,Sharma,Ishant Sharma,IND,1988-09-02,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
573170,Luke,,Wood,Luke Wood,ENG,1995-08-02,MALE,,,BOWLER,LEFT,LEFT,PACE,LFM
447587,Jayant,,Yadav,Jayant Yadav,IND,1990-01-22,MALE,,,BOWLER,RIGHT,RIGHT,PACE,ROB
1175426,Manav,,Suthar,Manav Suthar,IND,2002-08-03,MALE,,,BOWLER,LEFT,LEFT,SPIN,LOB
1299879,Ashok,,Sharma,Ashok Sharma,IND,2002-06-17,MALE,,,BOWLER,RIGHT,RIGHT,,RM
1287033,Gurnoor,,Brar,Gurnoor Singh Brar,IND,2000-05-25,MALE,,,BOWLER,LEFT,RIGHT,PACE,RAF
1121579,Prithvi,Raj,Yarra,Prithvi Raj Yarra,IND,1998-02-20,MALE,,,BOWLER,LEFT,LEFT,PACE,LFM
1076713,Cameron,Donald,Green,Cameron Green,AUS,1999-06-03,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RFM
230558,Sunil,Philip,Narine,Sunil Narine,WI,1988-05-26,MALE,,,ALL_ROUNDER,LEFT,RIGHT,SPIN,ROB
1108375,Varun,Vinod,Chakravarthy,Varun Chakravarthy,IND,1991-08-29,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
277916,Ajinkya,Madhukar,Rahane,Ajinkya Rahane,IND,1988-06-06,MALE,,,BATTER,RIGHT,RIGHT,PACE,RM
723105,Rinku,Khanchand,Singh,Rinku Singh,IND,1997-10-12,MALE,,,BATTER,LEFT,RIGHT,SPIN,ROB
959759,Finnley,Hugh,Allen,Finn Allen,NZL,1999-04-22,MALE,,,WICKET_KEEPER,RIGHT,,,
625964,Tim,Louis,Seifert,Tim Seifert,NZL,1994-12-14,MALE,,,WICKET_KEEPER,RIGHT,,,
959767,Rachin,,Ravindra,Rachin Ravindra,NZL,1999-11-18,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
1312645,Harshit,Pradeep,Rana,Harshit Rana,IND,2001-12-22,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
1194795,Matheesha,,Pathirana,Matheesha Pathirana,SL,2002-12-18,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
290630,Manish,Krishnanand,Pandey,Manish Pandey,IND,1989-09-10,MALE,,,BATTER,RIGHT,RIGHT,PACE,RM
446763,Rahul,Ajay,Tripathi,Rahul Tripathi,IND,1991-03-02,MALE,,,BATTER,RIGHT,RIGHT,PACE,RM
1079839,Anukul,Sudhakar,Roy,Anukul Roy,IND,1998-11-30,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
1206492,Saurabh,Rajendraprasad,Dubey,Saurabh Dubey,IND,1998-01-23,MALE,,,BOWLER,RIGHT,LEFT,PACE,LFM
1209292,Vaibhav,Gopal,Arora,Vaibhav Arora,IND,1997-12-14,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
1292495,Angkrish,,Raghuvanshi,Angkrish Raghuvanshi,IND,2004-06-05,MALE,,,BATTER,RIGHT,,,
1079470,Ramandeep,,Singh,Ramandeep Singh,IND,1997-04-13,MALE,,,BATTER,RIGHT,RIGHT,PACE,RM
820351,Rovman,,Powell,Rovman Powell,WI,1993-07-23,MALE,,,BATTER,RIGHT,RIGHT,PACE,RFM
1460372,Tejasvi,,Dahiya,Tejasvi Dahiya,IND,2002-04-18,MALE,,,WICKET_KEEPER,RIGHT,,,
827051,Blessing,,Muzarabani,Blessing Muzarabani,ZIM,1996-10-02,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
1122918,Kartik,,Tyagi,Kartik Tyagi,IND,2000-11-08,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
1246528,Umran,,Malik,Umran Malik,IND,1999-11-22,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
1252337,Prashant,Hitesh,Solanki,Prashant Solanki,IND,2000-02-22,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
1515048,Daksh,,Kamra,Daksh Kamra,IND,2003-01-09,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,RLB
956405,Sarthak,,Ranjan,Sarthak Ranjan,IND,1996-09-25,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,RLB
600498,Aiden,Kyle,Markram,Aiden Markram,RSA,1994-10-04,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
604302,Nicholas,,Pooran,Nicholas Pooran,WI,1995-10-02,MALE,,,WICKET_KEEPER,LEFT,RIGHT,SPIN,ROB
931581,Rishabh,Rajendra,Pant,Rishabh Pant,IND,1997-10-04,MALE,,,WICKET_KEEPER,LEFT,,,
272450,Mitchell,Ross,Marsh,Mitchell Marsh,AUS,1991-10-20,MALE,,,BATTER,RIGHT,RIGHT,PACE,RM
662235,Joshua,Patrick,Inglis,Josh Inglis,AUS,1995-03-04,MALE,,,WICKET_KEEPER,RIGHT,,,
1151270,Ayush,,Badoni,Ayush Badoni,IND,1999-12-03,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,ROB
784379,Wanindu,Pinnaduwage de Silva,Hasaranga,Wanindu Hasaranga,SL,1997-07-29,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,RLB
481979,Anrich,Arno,Nortje,Anrich Nortje,RSA,1993-11-16,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
481896,Mohammed,Ahmed,Shami,Mohammed Shami,IND,1990-09-03,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
1460529,Digvesh,Singh,Rathi,Digvesh Rathi,IND,1999-12-15,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
1151286,Manimaran,,Siddharth,Manimaran Siddharth,IND,1998-07-03,MALE,,,BOWLER,RIGHT,LEFT,SPIN,LOB
1175485,Abdul,Farooq,Samad,Abdul Samad,IND,2001-10-28,MALE,,,BATTER,RIGHT,RIGHT,SPIN,RLB
1159711,Shahbaz,,Ahmed,Shahbaz Ahmed,IND,1994-12-11,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
694211,Avesh,,Khan,Avesh Khan,IND,1996-12-13,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
1292563,Mayank,Prabhu,Yadav,Mayank Yadav,IND,2002-06-17,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
595267,Matthew,Paul,Breetzke,Matthew Breetzke,RSA,1998-11-03,MALE,,,BATTER,RIGHT,,,
1354217,Mukul,Dalip,Choudhary,Mukul Choudhary,IND,2004-08-06,MALE,,,WICKET_KEEPER,RIGHT,,,
1148776,Arjun,Sachin,Tendulkar,Arjun Tendulkar,IND,1999-09-24,MALE,,,ALL_ROUNDER,LEFT,LEFT,PACE,LFM
1403153,Arshin,Atul,Kulkarni,Arshin Kulkarni,IND,2005-02-15,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,LM
1300795,Akshat,,Raghuwanshi,Akshat Raghuwanshi,IND,2003-09-15,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
805235,Himmat,,Singh,Himmat Singh,IND,1996-11-08,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
1408677,Naman,,Tiwari,Naman Tiwari,IND,2005-11-08,MALE,,,ALL_ROUNDER,LEFT,LEFT,PACE,LFM
1175458,Akash,Maharaj,Singh,Akash Singh,IND,2002-04-26,MALE,,,BOWLER,RIGHT,LEFT,PACE,LFM
1132005,Mohsin,,Khan,Mohsin Khan,IND,1998-07-15,MALE,,,BOWLER,LEFT,LEFT,PACE,LFM
1350768,Prince,,Yadav,Prince Yadav,IND,2001-12-12,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
379143,Hardik,Himanshu,Pandya,Hardik Pandya,IND,1993-10-11,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RFM
625371,Jasprit,Jasbirsingh,Bumrah,Jasprit Bumrah,IND,1993-12-06,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
625383,Suryakumar,Ashok,Yadav,Suryakumar Yadav,IND,1990-09-14,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
446507,Rohit,Gurunath,Sharma,Rohit Sharma,IND,1987-04-30,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
34102,Sherfane,Eviston,Rutherford,Sherfane Rutherford,WI,1998-08-15,MALE,,,BATTER,LEFT,RIGHT,PACE,RM
914541,Tilak,Namboori Thakur,Varma,Tilak Varma,IND,2002-11-08,MALE,,,BATTER,LEFT,RIGHT,SPIN,ROB
1170265,Quinton,,de Kock,Quinton de Kock,RSA,1992-12-17,MALE,,,WICKET_KEEPER,LEFT,,,
1350762,Robin,,Minz,Robin Minz,IND,2002-09-13,MALE,,,WICKET_KEEPER,LEFT,LEFT,SPIN,LOB
605661,Ryan,David,Rickelton,Ryan Rickelton,RSA,1996-07-11,MALE,,,WICKET_KEEPER,LEFT,,,
502714,Mitchell,Josef,Santner,Mitchell Santner,NZL,1992-02-05,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
475281,Shardul,Narendra,Thakur,Shardul Thakur,IND,1991-10-16,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RM
897549,William,George,Jacks,Will Jacks,ENG,1998-11-21,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,ROB
447261,Deepak,Lokandersingh,Chahar,Deepak Chahar,IND,1992-08-07,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RM
277912,Trent,Alexander,Boult,Trent Boult,NZL,1989-07-22,MALE,,,BOWLER,RIGHT,LEFT,PACE,LFM
1326798,Allah,Mohammad,Ghazanfar,AM Ghazanfar,AFG,2006-03-20,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,LLB
594322,Corbin,,Bosch,Corbin Bosch,RSA,1994-09-10,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RFM
1287032,Naman,,Dhir,Naman Dhir,IND,1999-12-31,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,ROB
1292502,Raj,Angad,Bawa,Raj Bawa,IND,2002-11-12,MALE,,,ALL_ROUNDER,LEFT,RIGHT,PACE,LM
1081442,Mayank,,Markande,Mayank Markande,IND,1997-11-11,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
1122621,Raghu,Shivam,Sharma,Raghu Sharma,IND,1993-03-11,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
1421992,Danish,Vishnu,Malewar,Danish Malewar,IND,2003-10-08,MALE,,,BATTER,RIGHT,RIGHT,SPIN,RLB
1175467,Atharva,Vinod,Ankolekar,Atharva Ankolekar,IND,2000-09-26,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
1079847,Mayank,Ram,Rawat,Mayank Rawat,IND,1999-12-04,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,ROB
1209126,Ashwani,,Kumar,Ashwani Kumar,IND,2001-12-29,MALE,,,BOWLER,LEFT,LEFT,PACE,LFM
1512648,Mohammed,Salahuddin,Izhar,Mohammed Izhar,IND,2004-01-01,MALE,,,BOWLER,RIGHT,LEFT,PACE,LFM
1125976,Arshdeep,,Singh,Arshdeep Singh,IND,1999-02-05,MALE,,,BOWLER,LEFT,LEFT,PACE,LFM
642519,Shreyas,Santosh,Iyer,Shreya Iyer,IND,1994-12-06,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
430246,Yuzvendra,Singh,Chahal,Yuzvendra Chahal,IND,1990-07-23,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
1161024,Prabhsimran,,Singh,Prabhsimran Singh,IND,2000-08-10,MALE,,,WICKET_KEEPER,RIGHT,,,
819429,Azmatullah,,Omarzai,Azmatullah Omarzai,AFG,2000-03-24,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RFM
696401,Marco,,Jansen,Marco Jansen,RSA,2000-05-01,MALE,,,ALL_ROUNDER,RIGHT,LEFT,PACE,LAF
325012,Marcus,,Stoinis,Marcus Stoinis,AUS,1989-08-16,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RM
493773,Lachlan,Hammond,Ferguson,Lockie Ferguson,NZL,1991-06-13,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
377534,Shashank,,Singh,Shashank Singh,IND,1991-11-21,MALE,,,BATTER,RIGHT,RIGHT,PACE,RM
1168641,Harpreet,,Brar,Harpreet Brar,IND,1995-09-16,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
1050545,Xavier,Colin,Bartlett,Xavier Bartlett,AUS,1998-12-17,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
1151273,Nehal,,Wadhera,Nehal Wadhera,IND,2000-09-04,MALE,,,BATTER,LEFT,RIGHT,SPIN,RLB
1175456,Priyansh,,Arya,Priyansh Arya,IND,2001-09-18,MALE,,,BATTER,LEFT,RIGHT,SPIN,ROB
732293,Vishnu,,Vinod,Vishnu Vinod,IND,1993-12-02,MALE,,,WICKET_KEEPER,RIGHT,,,
1210488,Cooper,Patrick Leonard,Connolly,Cooper Connolly,AUS,2003-08-22,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
1213979,Mitchell,James,Owen,Mitchell Owen,AUS,2001-09-16,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RM
1316430,Musheer,,Khan,Musheer Khan,IND,2005-02-27,MALE,,,ALL_ROUNDER,RIGHT,LEFT,SPIN,LOB
1339698,Suryansh,,Shedge,Suryansh Shedge,IND,2003-01-29,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RFM
679567,Benjamin,James,Dwarshuis,Ben Dwarshuis,AUS,1994-06-23,MALE,,,BOWLER,LEFT,LEFT,PACE,RFM
1070196,Yash,Ravisingh,Thakur,Yash Thakur,IND,1998-12-28,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
777515,Praveen,,Dubey,Praveen Dubey,IND,1993-07-01,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
1449053,Vishal,,Nishad,Vishal Nishad,IND,2005-04-01,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
1292496,Harnoor,Singh,Pannu,Harnoor Singh,IND,2003-01-30,MALE,,,BATTER,LEFT,LEFT,SPIN,LLB
1324449,Pyla,,Avinash,Pyla Avinash,IND,2000-07-07,MALE,,,BATTER,RIGHT,RIGHT,PACE,RFM
777815,Vijaykumar,,Vyshak,Vijaykumar Vyshak,IND,1997-01-31,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RM
669365,Philip,Dean,Salt,Phil Salt,ENG,1996-08-28,MALE,,,WICKET_KEEPER,RIGHT,,,
823703,Rajat,Manohar,Patidar,Rajat Patidar,IND,1993-06-01,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
253802,Virat,,Kohli,Virat Kohli,IND,1988-11-05,MALE,,,BATTER,RIGHT,RIGHT,PACE,RM
721867,Jitesh,Mohan,Sharma,Jitesh Sharma,IND,1993-10-22,MALE,,,WICKET_KEEPER,RIGHT,,,
471342,Krunal,Himanshu,Pandya,Kruna Pandya,IND,1991-03-24,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
677077,Romario,,Shepherd,Romario Shepherd,WI,1994-11-26,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RFM
892749,Timothy,Hays,David,Tim David,AUS,1996-03-16,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,ROB
851403,Venkatesh,Rajasekaran,Iyer,Venkatesh Iyer,IND,1994-12-25,MALE,,,ALL_ROUNDER,LEFT,RIGHT,PACE,RM
326016,Bhuvneshwar,Kumar,Singh,Bhuvneshwar Kumar,IND,1990-02-05,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
288284,Josh,Reginald,Hazlewood,Josh Hazlewood,AUS,1991-01-08,MALE,,,BOWLER,LEFT,RIGHT,PACE,RFM
1350792,Suyash,,Sharma,Suyash Sharma,IND,2003-05-15,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
1119026,Devdutt,,Padikkal,Devdutt Padikkal,IND,2000-07-07,MALE,,,BATTER,LEFT,RIGHT,SPIN,ROB
1194959,Jacob,Graham,Bethell,Jacob Bethell,ENG,2003-10-23,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
547766,Jacob,Andrew,Duffy,Jacob Duffy,NZL,1994-08-02,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
955235,Nuwan,Ilandari Dewage,Thushara,Nuwan Thushara,SL,1994-08-06,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
1159720,,,,,,,MALE,,,BOWLER,,,,
232292,Swapnil,,Singh,Swapnil Singh,IND,1991-01-22,MALE,,,ALL_ROUNDER,RIGHT,LEFT,SPIN,LOB
1112537,Jordan,Matthew,Cox,Jordan Cox,ENG,2000-10-21,MALE,,,BATTER,RIGHT,,,
1490396,Kanishk,,Chouhan,Kanishk Chouhan,IND,2006-09-26,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,ROB
1515303,Mangesh,,Yadav,Mangesh Yadav,IND,2002-10-10,MALE,,,ALL_ROUNDER,LEFT,LEFT,PACE,LAF
1515302,Satvik,,Deswal,Satvik Deswal,IND,2007-03-23,MALE,,,ALL_ROUNDER,RIGHT,LEFT,SPIN,LOB
1292520,Vicky,Kanhaiya,Ostwal,Vicky Ostwal,IND,2002-09-01,MALE,,,ALL_ROUNDER,RIGHT,LEFT,SPIN,LOB
1354132,Vihaan,Manoj,Malhotra,Vihaan Malhotra,IND,2007-01-01,MALE,,,ALL_ROUNDER,LEFT,RIGHT,SPIN,ROB
1449085,Abhinandan,,Singh,Abhinandan Singh,IND,1997-03-30,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
1161489,Rasikh,Salam,Dar,Rasikh Dar,IND,2000-04-05,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RM
1385640,Jofra,Chioke,Archer,Jofra Archer,ENG,1995-04-01,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RAF
